record_identifier,symbol_code,market_code,symbol_state,symbol_flag,bid_volume,bid_price,ask_price,ask_volume,last_trade_price,last_trade_volume,last_trade_time,last_day_close_price,symbol_direction,average_price,high_price,low_price,net_change,total_traded_volume,total_trades,open_price,timestamp
FEED,786,REG,E0,"",0,0,0,0,9.51,8,,9.16,,432228.69,9.8,8.71,0.35,45329,75,8.72,2025-01-15 15:50:00
FEED,AABS,REG,E0,"",0,0,0,0,723.43,1,,719.86,,232910.0,740.0,720.0,3.57,319,45,735.0,2025-01-15 15:50:00
FEED,AAL,REG,E1,"",0,0,0,0,16.0,0,,16.0,,0.0,,,,0,0,,2025-01-15 15:50:00
FEED,AASM,REG,E1,"",0,0,0,0,3.49,0,,3.49,,0.0,,,,0,0,,2025-01-15 15:50:00
FEED,AATM,REG,E0,"",0,0,0,0,50.08,50,,53.15,,3408476.75,53.0,47.84,-3.07,69253,341,53.0,2025-01-15 15:50:00
FEED,ABL,REG,E0,"",0,0,0,0,137.7,5,,136.99,,1398194.97,137.94,135.01,0.71,10253,72,137.0,2025-01-15 15:50:00
FEED,ABOT,REG,E0,"",0,0,0,0,1299.5,3,,1251.74,,224667090.34,1310.0,1243.0,47.76,172879,623,1269.0,2025-01-15 15:50:00
FEED,ABSON,REG,E1,"",0,0,0,0,2.5,0,,2.5,,0.0,,,,0,0,,2025-01-15 15:50:00
FEED,ACIETF,REG,E0,"",0,0,0,0,14.94,500,,14.58,,87630.0,14.94,14.5,0.36,6000,9,14.5,2025-01-15 15:50:00
FEED,ACPL,REG,E0,"",0,0,0,0,224.25,200,,228.61,,144972517.22,233.3,222.01,-4.36,638496,1082,229.69,2025-01-15 15:50:00
FEED,ADAMS,REG,E0,"",0,0,0,0,52.71,5,,55.0,,232578.23,55.49,51.02,-2.29,4410,48,55.0,2025-01-15 15:50:00
FEED,ADMM,REG,E0,"",0,0,0,0,46.46,5,,46.75,,2379292.1,47.5,46.33,-0.29,50636,74,46.9,2025-01-15 15:50:00
FEED,AGHA,REG,E0,"",0,0,0,0,10.71,250,,10.5,,14796792.0,10.79,10.5,0.21,1385707,642,10.6,2025-01-15 15:50:00
FEED,AGIC,REG,E0,"",0,0,0,0,30.05,827,,30.64,,33165.17,31.48,30.05,-0.59,1097,9,31.48,2025-01-15 15:50:00
FEED,AGIL,REG,E0,"",0,0,0,0,104.57,8,,103.84,,54054.39,104.99,99.75,0.73,519,17,104.98,2025-01-15 15:50:00
FEED,AGL,REG,E0,"",0,0,0,0,38.71,200,,37.76,,8250458.19,39.0,37.5,0.95,214968,227,37.74,2025-01-15 15:50:00
FEED,AGLNCPS,REG,E0,"",0,0,0,0,22.0,0,,22.0,,0.0,,,,0,0,,2025-01-15 15:50:00
FEED,AGP,REG,E0,"",0,0,0,0,184.74,719,,174.41,,347740432.61,191.85,172.06,10.33,1858466,3127,175.3,2025-01-15 15:50:00
FEED,AGSML,REG,E0,"",0,0,0,0,6.45,7000,,6.31,,137972.14,6.5,6.02,0.14,21910,38,6.21,2025-01-15 15:50:00
FEED,AGTL,REG,E0,"",0,0,0,0,657.42,10,,657.24,,14802156.9,681.0,651.5,0.18,22135,273,665.0,2025-01-15 15:50:00
FEED,AHCL,REG,E0,"",0,0,0,0,68.0,1000,,67.08,,13441948.86,68.9,67.08,0.92,197875,154,67.08,2025-01-15 15:50:00
FEED,AHL,REG,E0,"",0,0,0,0,60.96,5100,,55.42,,61309620.93,60.96,56.0,5.54,1021514,576,56.0,2025-01-15 15:50:00
FEED,AHTM,REG,E0,"",0,0,0,0,54.45,0,,54.45,,0.0,,,,0,0,,2025-01-15 15:50:00
FEED,AICL,REG,E0,"",0,0,0,0,50.59,1000,,51.63,,98453257.64,52.32,50.15,-1.04,1913209,905,51.69,2025-01-15 15:50:00
FEED,AIRLINK,REG,E0,"",0,0,0,0,205.81,100,,200.29,,1756190311.28,214.79,200.52,5.52,8437242,11773,201.69,2025-01-15 15:50:00
FEED,AKBL,REG,E0,"",0,0,0,0,39.35,4,,39.84,,28163503.41,40.29,39.07,-0.49,712228,331,40.29,2025-01-15 15:50:00
FEED,AKDHL,REG,E0,"",0,0,0,0,156.31,100,,162.04,,2403788.44,166.89,153.73,-5.73,14996,110,166.89,2025-01-15 15:50:00
FEED,AKDSL,REG,E0,"",0,0,0,0,22.33,4000,,22.15,,4898025.41,22.94,22.2,0.18,215794,144,22.48,2025-01-15 15:50:00
FEED,AKGL,REG,E0,"",0,0,0,0,37.97,1,,37.39,,22499.33,37.99,33.66,0.58,604,7,33.66,2025-01-15 15:50:00
FEED,ALAC,REG,E0,"",0,0,0,0,5.25,2500,,5.25,,13125.0,5.25,5.25,0.0,2500,1,5.25,2025-01-15 15:50:00
FEED,ALIFE,REG,E0,"",0,0,0,0,29.32,150,,29.98,,221089.38,29.96,29.02,-0.66,7496,22,29.02,2025-01-15 15:50:00
FEED,ALNRS,REG,E0,"",0,0,0,0,75.01,2,,75.01,,11627.92,76.01,76.0,0.0,151,8,76.0,2025-01-15 15:50:00
FEED,ALTN,REG,E0,"",0,0,0,0,20.04,2000,,19.85,,2996667.05,20.39,19.9,0.19,148956,215,19.96,2025-01-15 15:50:00
FEED,AMBL,REG,E0,"",0,0,0,0,9.53,19957,,10.01,,195986.5,10.0,9.5,-0.48,20546,6,10.0,2025-01-15 15:50:00
FEED,AMSL,REG,E1,"",0,0,0,0,0.62,0,,0.62,,0.0,,,,0,0,,2025-01-15 15:50:00
FEED,AMTEX,REG,E0,"",0,0,0,0,3.17,1,,3.21,,169290.33,3.35,3.13,-0.04,52776,54,3.35,2025-01-15 15:50:00
FEED,ANL,REG,E0,"",0,0,0,0,7.96,803,,8.14,,4080377.68,8.2,7.95,-0.18,503768,213,8.18,2025-01-15 15:50:00
FEED,ANLNV,REG,E0,"",0,0,0,0,7.0,0,,7.0,,0.0,,,,0,0,,2025-01-15 15:50:00
FEED,ANLPS,REG,E1,"",0,0,0,0,9.8,0,,9.8,,0.0,,,,0,0,,2025-01-15 15:50:00
FEED,ANNT,REG,E1,"",0,0,0,0,11.38,0,,11.38,,0.0,,,,0,0,,2025-01-15 15:50:00
FEED,ANSM,REG,E1,"",0,0,0,0,5.81,0,,5.81,,0.0,,,,0,0,,2025-01-15 15:50:00
FEED,ANTM,REG,E0,"",0,0,0,0,10.6,790,,10.73,,182663.9,11.8,10.55,-0.13,16144,30,11.8,2025-01-15 15:50:00
FEED,APL,REG,E0,"",0,0,0,0,513.96,10,,519.42,,21616833.08,545.0,506.02,-5.46,41690,411,524.0,2025-01-15 15:50:00
FEED,APOT,REG,E1,"",0,0,0,0,29.52,0,,29.52,,0.0,,,,0,0,,2025-01-15 15:50:00
FEED,ARCTM,REG,E0,"",0,0,0,0,20.99,3,,21.0,,10556.78,20.99,20.94,-0.01,503,4,20.95,2025-01-15 15:50:00
FEED,ARM,REG,PRE,"",0,0,0,0,27.9,0,,27.9,,0,,,,0,0,,2025-01-15 09:30:17
FEED,ARPAK,REG,E0,"",0,0,0,0,70.19,1,,70.19,,27100.99,76.0,72.99,0.0,405,5,76.0,2025-01-15 15:50:00
FEED,ARPL,REG,E0,"",0,0,0,0,445.09,40,,430.49,,3725086.03,445.8,436.0,14.6,8442,76,436.0,2025-01-15 15:50:00
FEED,ARUJ,REG,E0,"",0,0,0,0,8.95,1,,9.26,,108544.44,9.34,8.9,-0.31,12023,31,9.34,2025-01-15 15:50:00
FEED,ASC,REG,E0,"",0,0,0,0,7.14,20,,7.15,,1168608.14,7.21,7.11,-0.01,163161,125,7.2,2025-01-15 15:50:00
FEED,ASHT,REG,E0,"",0,0,0,0,13.3,734,,13.29,,13300.0,13.3,13.3,0.01,1000,3,13.3,2025-01-15 15:50:00
FEED,ASIC,REG,E0,"",0,0,0,0,13.51,0,,13.51,,0.0,,,,0,0,,2025-01-15 15:50:00
FEED,ASL,REG,E0,"",0,0,0,0,11.6,30,,11.74,,48743080.75,11.9,11.52,-0.14,4132674,726,11.85,2025-01-15 15:50:00
FEED,ASLCPS,REG,E0,"",0,0,0,0,20.17,0,,20.17,,0.0,,,,0,0,,2025-01-15 15:50:00
FEED,ASLPS,REG,E0,"",0,0,0,0,12.32,20,,12.32,,240.2,12.01,12.01,0.0,20,1,12.01,2025-01-15 15:50:00
FEED,ASTL,REG,E0,"",0,0,0,0,25.25,3897,,25.82,,4417138.49,26.1,25.1,-0.57,172986,163,26.0,2025-01-15 15:50:00
