"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.25, yesterday high=429.0, time=2025-08-11 13:20:55.635828+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.32, yesterday high=690.02, time=2025-08-11 13:20:58.166287+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.32, yesterday high=690.02, time=2025-08-11 13:20:59.177320+05:00"
"\u274c Conditions not met for FCL: RSI=56.52, SMA=24.22, Close=25.35, yesterday high=25.34, time=2025-08-11 13:20:59.315104+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.32, yesterday high=690.02, time=2025-08-11 13:21:00.144913+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.25, yesterday high=429.0, time=2025-08-11 13:21:02.640585+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.24, yesterday high=429.0, time=2025-08-11 13:21:03.683410+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.24, yesterday high=429.0, time=2025-08-11 13:21:04.637043+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.24, yesterday high=429.0, time=2025-08-11 13:21:05.631836+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.24, yesterday high=429.0, time=2025-08-11 13:21:06.763337+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.0, yesterday high=429.0, time=2025-08-11 13:21:07.712331+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.35, yesterday high=690.02, time=2025-08-11 13:21:09.145258+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.0, yesterday high=429.0, time=2025-08-11 13:21:09.626178+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.35, yesterday high=690.02, time=2025-08-11 13:21:10.176699+05:00"
"\u274c Conditions not met for BAFL: RSI=51.13, SMA=78.24, Close=89.99, yesterday high=89.9, time=2025-08-11 13:21:10.187966+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.32, yesterday high=690.02, time=2025-08-11 13:21:11.171336+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.32, yesterday high=690.02, time=2025-08-11 13:21:12.148173+05:00"
