"\u274c Conditions not met for BAFL: RSI=0.0, SMA=0.0, Close=89.3, yesterday high=90.64, time=2025-08-12 09:30:00.363637+05:00"
"\u274c Conditions not met for FCL: RSI=0.0, SMA=0.0, Close=25.09, yesterday high=25.7, time=2025-08-12 09:30:00.810977+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.1, yesterday high=425.64, time=2025-08-12 09:30:01.858145+05:00"
"\u274c Conditions not met for BAFL: RSI=0.0, SMA=0.0, Close=89.3, yesterday high=90.64, time=2025-08-12 09:30:08.966021+05:00"
"\u274c Conditions not met for FCL: RSI=0.0, SMA=0.0, Close=25.09, yesterday high=25.7, time=2025-08-12 09:30:09.163787+05:00"
"\u274c Conditions not met for BAFL: RSI=0.0, SMA=0.0, Close=89.3, yesterday high=90.64, time=2025-08-12 09:32:00.316715+05:00"
"\u274c Conditions not met for FCL: RSI=0.0, SMA=0.0, Close=25.09, yesterday high=25.7, time=2025-08-12 09:32:00.584048+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.1, yesterday high=425.64, time=2025-08-12 09:32:01.835826+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.1, yesterday high=425.64, time=2025-08-12 09:32:02.358964+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.1, yesterday high=425.64, time=2025-08-12 09:32:03.658094+05:00"
"\u274c Conditions not met for BAFL: RSI=0.0, SMA=0.0, Close=89.3, yesterday high=90.64, time=2025-08-12 09:32:04.248843+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.1, yesterday high=425.64, time=2025-08-12 09:32:04.648498+05:00"
"\u274c Conditions not met for FCL: RSI=0.0, SMA=0.0, Close=25.09, yesterday high=25.7, time=2025-08-12 09:32:05.254168+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=426.0, yesterday high=425.64, time=2025-08-12 09:32:05.649627+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=426.0, yesterday high=425.64, time=2025-08-12 09:32:07.646082+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.2, yesterday high=425.64, time=2025-08-12 09:32:08.768422+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.2, yesterday high=425.64, time=2025-08-12 09:32:09.654329+05:00"
"\u274c Conditions not met for FCL: RSI=0.0, SMA=0.0, Close=25.09, yesterday high=25.7, time=2025-08-12 09:32:10.250846+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.2, yesterday high=425.64, time=2025-08-12 09:32:10.650027+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.2, yesterday high=425.64, time=2025-08-12 09:32:11.658394+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.2, yesterday high=425.64, time=2025-08-12 09:32:12.651922+05:00"
"\u274c Conditions not met for FCL: RSI=0.0, SMA=0.0, Close=25.09, yesterday high=25.7, time=2025-08-12 09:32:13.254513+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.8, yesterday high=425.64, time=2025-08-12 09:32:13.742229+05:00"
"\u274c Conditions not met for BAFL: RSI=0.0, SMA=0.0, Close=89.3, yesterday high=90.64, time=2025-08-12 09:32:15.171966+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.5, yesterday high=425.64, time=2025-08-12 09:32:16.651374+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.5, yesterday high=425.64, time=2025-08-12 09:32:17.649703+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.5, yesterday high=425.64, time=2025-08-12 09:32:18.650675+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.5, yesterday high=425.64, time=2025-08-12 09:32:19.649729+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.5, yesterday high=425.64, time=2025-08-12 09:32:20.654913+05:00"
"\u274c Conditions not met for BAFL: RSI=0.0, SMA=0.0, Close=89.3, yesterday high=90.64, time=2025-08-12 09:32:21.169245+05:00"
"\u274c Conditions not met for FCL: RSI=0.0, SMA=0.0, Close=25.13, yesterday high=25.7, time=2025-08-12 09:32:21.252113+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.1, yesterday high=425.64, time=2025-08-12 09:32:21.656572+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.1, yesterday high=425.64, time=2025-08-12 09:32:22.652024+05:00"
"\u274c Conditions not met for FCL: RSI=0.0, SMA=0.0, Close=25.13, yesterday high=25.7, time=2025-08-12 09:32:23.344982+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=426.0, yesterday high=425.64, time=2025-08-12 09:32:23.655501+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=426.0, yesterday high=425.64, time=2025-08-12 09:32:25.658707+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=426.0, yesterday high=425.64, time=2025-08-12 09:32:26.794815+05:00"
"\u274c Conditions not met for FCL: RSI=0.0, SMA=0.0, Close=25.15, yesterday high=25.7, time=2025-08-12 09:32:27.342129+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.5, yesterday high=425.64, time=2025-08-12 09:32:27.790952+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.5, yesterday high=425.64, time=2025-08-12 09:32:29.673599+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.5, yesterday high=425.64, time=2025-08-12 09:32:30.796945+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.79, yesterday high=425.64, time=2025-08-12 09:32:31.767526+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.5, yesterday high=425.64, time=2025-08-12 09:32:32.651884+05:00"
"\u274c Conditions not met for FCL: RSI=0.0, SMA=0.0, Close=25.15, yesterday high=25.7, time=2025-08-12 09:32:33.257675+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.5, yesterday high=425.64, time=2025-08-12 09:32:33.662252+05:00"
"\u274c Conditions not met for FCL: RSI=0.0, SMA=0.0, Close=25.15, yesterday high=25.7, time=2025-08-12 09:32:34.295070+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.2, yesterday high=425.64, time=2025-08-12 09:32:34.674317+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.8, yesterday high=425.64, time=2025-08-12 09:32:35.652556+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.0, yesterday high=425.64, time=2025-08-12 09:32:36.651703+05:00"
"\u274c Conditions not met for FCL: RSI=0.0, SMA=0.0, Close=25.15, yesterday high=25.7, time=2025-08-12 09:32:37.308091+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=426.0, yesterday high=425.64, time=2025-08-12 09:32:37.662954+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=426.0, yesterday high=425.64, time=2025-08-12 09:32:38.658267+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=426.0, yesterday high=425.64, time=2025-08-12 09:32:39.714707+05:00"
"\u274c Conditions not met for BAFL: RSI=0.0, SMA=0.0, Close=89.3, yesterday high=90.64, time=2025-08-12 09:32:40.166720+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=426.0, yesterday high=425.64, time=2025-08-12 09:32:40.650221+05:00"
"\u274c Conditions not met for BAFL: RSI=0.0, SMA=0.0, Close=89.3, yesterday high=90.64, time=2025-08-12 09:32:41.168417+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=426.0, yesterday high=425.64, time=2025-08-12 09:32:41.661900+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=426.0, yesterday high=425.64, time=2025-08-12 09:32:42.648801+05:00"
"\u274c Conditions not met for FCL: RSI=0.0, SMA=0.0, Close=25.15, yesterday high=25.7, time=2025-08-12 09:32:43.249979+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.99, yesterday high=425.64, time=2025-08-12 09:32:43.659389+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.99, yesterday high=425.64, time=2025-08-12 09:32:44.674294+05:00"
"\u274c Conditions not met for FCL: RSI=0.0, SMA=0.0, Close=25.15, yesterday high=25.7, time=2025-08-12 09:32:45.446824+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.99, yesterday high=425.64, time=2025-08-12 09:32:45.657573+05:00"
"\u274c Conditions not met for BAFL: RSI=0.0, SMA=0.0, Close=89.3, yesterday high=90.64, time=2025-08-12 09:32:46.161670+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.99, yesterday high=425.64, time=2025-08-12 09:32:46.847511+05:00"
"\u274c Conditions not met for FCL: RSI=0.0, SMA=0.0, Close=25.2, yesterday high=25.7, time=2025-08-12 09:32:47.249198+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.99, yesterday high=425.64, time=2025-08-12 09:32:47.649352+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.99, yesterday high=425.64, time=2025-08-12 09:32:48.653489+05:00"
"\u274c Conditions not met for BAFL: RSI=0.0, SMA=0.0, Close=89.3, yesterday high=90.64, time=2025-08-12 09:32:50.165996+05:00"
"\u274c Conditions not met for FCL: RSI=0.0, SMA=0.0, Close=25.2, yesterday high=25.7, time=2025-08-12 09:32:50.250546+05:00"
