"\u00e5tkt modified tsl: Conditions not met for ATRL: RSI=47.9, SMA=613.98, Close=663.0, yesterday high=673.97, time=2025-08-13 09:33:29.171339+05:00"
"\u00e5tkt modified tsl: Conditions not met for BAFL: RSI=64.78, SMA=78.48, Close=94.49, yesterday high=95.64, time=2025-08-13 09:33:29.174000+05:00"
"\u00e5tkt modified tsl: Conditions not met for FCL: RSI=52.16, SMA=24.22, Close=24.76, yesterday high=25.45, time=2025-08-13 09:33:27.795543+05:00"
"\u00e5tkt modified tsl: Conditions not met for ATRL: RSI=47.9, SMA=613.98, Close=663.0, yesterday high=673.97, time=2025-08-13 09:33:30.171313+05:00"
"\u00e5tkt modified tsl: Conditions not met for BAFL: RSI=64.78, SMA=78.48, Close=94.49, yesterday high=95.64, time=2025-08-13 09:33:31.168852+05:00"
"\u00e5tkt modified tsl: Conditions not met for ATRL: RSI=47.9, SMA=613.98, Close=663.0, yesterday high=673.97, time=2025-08-13 09:33:33.173350+05:00"
"\u00e5tkt modified tsl: Conditions not met for BAFL: RSI=64.78, SMA=78.48, Close=94.49, yesterday high=95.64, time=2025-08-13 09:33:33.177638+05:00"
"\u00e5tkt modified tsl: Conditions not met for ATRL: RSI=47.9, SMA=613.98, Close=663.0, yesterday high=673.97, time=2025-08-13 09:33:34.171354+05:00"
"\u00e5tkt modified tsl: Conditions not met for BAFL: RSI=64.78, SMA=78.48, Close=94.49, yesterday high=95.64, time=2025-08-13 09:33:34.174518+05:00"
"\u00e5tkt modified tsl: Conditions not met for ATRL: RSI=47.9, SMA=613.98, Close=663.0, yesterday high=673.97, time=2025-08-13 09:33:35.168795+05:00"
"\u00e5tkt modified tsl: Conditions not met for BAFL: RSI=64.78, SMA=78.48, Close=94.49, yesterday high=95.64, time=2025-08-13 09:33:36.170719+05:00"
"\u00e5tkt modified tsl: Conditions not met for BAFL: RSI=64.78, SMA=78.48, Close=94.49, yesterday high=95.64, time=2025-08-13 09:33:37.168747+05:00"
"\u00e5tkt modified tsl: Conditions not met for FCL: RSI=52.16, SMA=24.22, Close=24.75, yesterday high=25.45, time=2025-08-13 09:33:37.267747+05:00"
"\u00e5tkt modified tsl: Conditions not met for ATRL: RSI=47.9, SMA=613.98, Close=663.0, yesterday high=673.97, time=2025-08-13 09:33:38.174463+05:00"
"\u00e5tkt modified tsl: Conditions not met for BAFL: RSI=64.78, SMA=78.48, Close=94.49, yesterday high=95.64, time=2025-08-13 09:33:38.176803+05:00"
"\u00e5tkt modified tsl: Conditions not met for FCL: RSI=52.16, SMA=24.22, Close=24.75, yesterday high=25.45, time=2025-08-13 09:33:41.259271+05:00"
"\u00e5tkt modified tsl: Conditions not met for FCL: RSI=52.16, SMA=24.22, Close=24.75, yesterday high=25.45, time=2025-08-13 09:33:42.268636+05:00"
"\u00e5tkt modified tsl: Conditions not met for BAFL: RSI=64.78, SMA=78.48, Close=94.49, yesterday high=95.64, time=2025-08-13 09:33:43.175639+05:00"
"\u00e5tkt modified tsl: Conditions not met for FCL: RSI=52.16, SMA=24.22, Close=24.75, yesterday high=25.45, time=2025-08-13 09:33:43.269537+05:00"
"\u00e5tkt modified tsl: Conditions not met for ATRL: RSI=47.9, SMA=613.98, Close=663.0, yesterday high=673.97, time=2025-08-13 09:33:44.168842+05:00"
"\u00e5tkt modified tsl: Conditions not met for FCL: RSI=52.16, SMA=24.22, Close=24.75, yesterday high=25.45, time=2025-08-13 09:33:44.259880+05:00"
"\u00e5tkt modified tsl: Conditions not met for FCL: RSI=52.16, SMA=24.22, Close=24.75, yesterday high=25.45, time=2025-08-13 09:33:46.259372+05:00"
"\u00e5tkt modified tsl: Conditions not met for ATRL: RSI=47.9, SMA=613.98, Close=663.0, yesterday high=673.97, time=2025-08-13 09:33:48.173712+05:00"
"\u00e5tkt modified tsl: Conditions not met for BAFL: RSI=64.78, SMA=78.48, Close=94.49, yesterday high=95.64, time=2025-08-13 09:33:48.177667+05:00"
"\u00e5tkt modified tsl: Conditions not met for FCL: RSI=52.16, SMA=24.22, Close=24.75, yesterday high=25.45, time=2025-08-13 09:33:48.264771+05:00"
"\u00e5tkt modified tsl: Conditions not met for FCL: RSI=52.16, SMA=24.22, Close=24.94, yesterday high=25.45, time=2025-08-13 09:33:49.259792+05:00"
"\u00e5tkt modified tsl: Conditions not met for BAFL: RSI=64.78, SMA=78.48, Close=94.49, yesterday high=95.64, time=2025-08-13 09:33:50.168946+05:00"
"\u00e5tkt modified tsl: Conditions not met for ATRL: RSI=47.9, SMA=613.98, Close=663.0, yesterday high=673.97, time=2025-08-13 09:33:51.169131+05:00"
